CELL,"X (Coord. GEOF.,ITRF92)","Y (Coord. GEOF.,ITRF92)",HUSO,Pob,"X (CCL,ITRF92)","Y (CCL,ITRF92)",UTMZ
29,27,,,,,,
635771,-106.990252,31.081897,7,0,2022321.7742,2120649.0616,13
635772,-106.958936,31.082832,7,0,2025321.7742,2120649.0616,13
635773,-106.927620,31.083761,7,0,2028321.7742,2120649.0616,13
635774,-106.896304,31.084685,7,0,2031321.7742,2120649.0616,13
635775,-106.864987,31.085602,7,0,2034321.7742,2120649.0616,13
635776,-106.833669,31.086514,7,0,2037321.7742,2120649.0616,13
635777,-106.802351,31.087420,7,0,2040321.7742,2120649.0616,13
635778,-106.771033,31.088320,7,0,2043321.7742,2120649.0616,13
635779,-106.739714,31.089214,7,0,2046321.7742,2120649.0616,13
635780,-106.708395,31.090102,7,0,2049321.7742,2120649.0616,13
635781,-106.677075,31.090984,7,0,2052321.7742,2120649.0616,13
635782,-106.645755,31.091860,7,0,2055321.7742,2120649.0616,13
635783,-106.614434,31.092731,7,0,2058321.7742,2120649.0616,13
635784,-106.583113,31.093595,7,0,2061321.7742,2120649.0616,13
635785,-106.551791,31.094454,7,0,2064321.7742,2120649.0616,13
635786,-106.520469,31.095307,7,0,2067321.7742,2120649.0616,13
635787,-106.489147,31.096154,7,0,2070321.7742,2120649.0616,13
635788,-106.457824,31.096995,7,0,2073321.7742,2120649.0616,13
635789,-106.426501,31.097830,7,0,2076321.7742,2120649.0616,13
635790,-106.395177,31.098659,7,0,2079321.7742,2120649.0616,13
635791,-106.363853,31.099482,7,0,2082321.7742,2120649.0616,13
635792,-106.332529,31.100300,7,0,2085321.7742,2120649.0616,13
635793,-106.301204,31.101111,7,0,2088321.7742,2120649.0616,13
635794,-106.269878,31.101917,7,0,2091321.7742,2120649.0616,13
635795,-106.238553,31.102717,7,0,2094321.7742,2120649.0616,13
635796,-106.207226,31.103511,7,0,2097321.7742,2120649.0616,13
635797,-106.175900,31.104299,7,0,2100321.7742,2120649.0616,13
635798,-106.144573,31.105081,7,0,2103321.7742,2120649.0616,13
635799,-106.113246,31.105857,7,0,2106321.7742,2120649.0616,13
636830,-106.991342,31.108848,7,0,2022321.7742,2123649.0616,13
636831,-106.960020,31.109783,7,0,2025321.7742,2123649.0616,13
636832,-106.928697,31.110713,7,0,2028321.7742,2123649.0616,13
636833,-106.897373,31.111636,7,0,2031321.7742,2123649.0616,13
636834,-106.866050,31.112554,7,0,2034321.7742,2123649.0616,13
636835,-106.834725,31.113466,7,0,2037321.7742,2123649.0616,13
636836,-106.803400,31.114372,7,0,2040321.7742,2123649.0616,13
636837,-106.772075,31.115272,7,0,2043321.7742,2123649.0616,13
636838,-106.740750,31.116166,7,0,2046321.7742,2123649.0616,13
636839,-106.709423,31.117054,7,0,2049321.7742,2123649.0616,13
636840,-106.678097,31.117936,7,0,2052321.7742,2123649.0616,13
636841,-106.646770,31.118813,7,0,2055321.7742,2123649.0616,13
636842,-106.615442,31.119683,7,0,2058321.7742,2123649.0616,13
636843,-106.584114,31.120548,7,0,2061321.7742,2123649.0616,13
636844,-106.552786,31.121407,7,0,2064321.7742,2123649.0616,13
636845,-106.521457,31.122260,7,0,2067321.7742,2123649.0616,13
636846,-106.490128,31.123107,7,0,2070321.7742,2123649.0616,13
636847,-106.458798,31.123948,7,0,2073321.7742,2123649.0616,13
636848,-106.427468,31.124783,7,0,2076321.7742,2123649.0616,13
636849,-106.396138,31.125613,7,0,2079321.7742,2123649.0616,13
636850,-106.364807,31.126436,7,0,2082321.7742,2123649.0616,13
636851,-106.333475,31.127254,7,0,2085321.7742,2123649.0616,13
636852,-106.302144,31.128065,7,0,2088321.7742,2123649.0616,13
636853,-106.270811,31.128871,7,0,2091321.7742,2123649.0616,13
636854,-106.239479,31.129671,7,0,2094321.7742,2123649.0616,13
636855,-106.208146,31.130465,7,0,2097321.7742,2123649.0616,13
636856,-106.176812,31.131253,7,0,2100321.7742,2123649.0616,13
636857,-106.145479,31.132036,7,0,2103321.7742,2123649.0616,13
636858,-106.114144,31.132812,7,0,2106321.7742,2123649.0616,13
637889,-106.992433,31.135797,7,0,2022321.7742,2126649.0616,13
637890,-106.961104,31.136732,7,0,2025321.7742,2126649.0616,13
637891,-106.929774,31.137662,7,0,2028321.7742,2126649.0616,13
637892,-106.898444,31.138586,7,0,2031321.7742,2126649.0616,13
637893,-106.867113,31.139504,7,0,2034321.7742,2126649.0616,13
637894,-106.835782,31.140416,7,0,2037321.7742,2126649.0616,13
637895,-106.804450,31.141322,7,0,2040321.7742,2126649.0616,13
637896,-106.773118,31.142222,7,0,2043321.7742,2126649.0616,13
637897,-106.741786,31.143116,7,0,2046321.7742,2126649.0616,13
637898,-106.710453,31.144004,7,0,2049321.7742,2126649.0616,13
637899,-106.679119,31.144887,7,0,2052321.7742,2126649.0616,13
637900,-106.647785,31.145764,7,0,2055321.7742,2126649.0616,13
637901,-106.616451,31.146634,7,0,2058321.7742,2126649.0616,13
637902,-106.585116,31.147499,7,0,2061321.7742,2126649.0616,13
637903,-106.553781,31.148358,7,0,2064321.7742,2126649.0616,13
637904,-106.522445,31.149211,7,0,2067321.7742,2126649.0616,13
637905,-106.491109,31.150058,7,0,2070321.7742,2126649.0616,13
637906,-106.459773,31.150900,7,0,2073321.7742,2126649.0616,13
637907,-106.428436,31.151735,7,0,2076321.7742,2126649.0616,13
637908,-106.397098,31.152564,7,0,2079321.7742,2126649.0616,13
637909,-106.365761,31.153388,7,0,2082321.7742,2126649.0616,13
637910,-106.334423,31.154206,7,0,2085321.7742,2126649.0616,13
637911,-106.303084,31.155018,7,0,2088321.7742,2126649.0616,13
637912,-106.271745,31.155824,7,0,2091321.7742,2126649.0616,13
637913,-106.240405,31.156624,7,0,2094321.7742,2126649.0616,13
637914,-106.209066,31.157418,7,0,2097321.7742,2126649.0616,13
637915,-106.177725,31.158206,7,0,2100321.7742,2126649.0616,13
637916,-106.146385,31.158988,7,0,2103321.7742,2126649.0616,13
637917,-106.115044,31.159765,7,0,2106321.7742,2126649.0616,13
638948,-106.993524,31.162744,7,0,2022321.7742,2129649.0616,13
638949,-106.962188,31.163680,7,0,2025321.7742,2129649.0616,13
638950,-106.930851,31.164610,7,0,2028321.7742,2129649.0616,13
638951,-106.899514,31.165534,7,0,2031321.7742,2129649.0616,13
638952,-106.868177,31.166452,7,0,2034321.7742,2129649.0616,13
638953,-106.836839,31.167364,7,0,2037321.7742,2129649.0616,13
638954,-106.805500,31.168270,7,0,2040321.7742,2129649.0616,13
638955,-106.774162,31.169170,7,0,2043321.7742,2129649.0616,13
638956,-106.742822,31.170065,7,0,2046321.7742,2129649.0616,13
638957,-106.711482,31.170953,7,0,2049321.7742,2129649.0616,13
638958,-106.680142,31.171836,7,0,2052321.7742,2129649.0616,13
638959,-106.648801,31.172712,7,0,2055321.7742,2129649.0616,13
638960,-106.617460,31.173583,7,0,2058321.7742,2129649.0616,13
638961,-106.586119,31.174448,7,0,2061321.7742,2129649.0616,13
638962,-106.554776,31.175307,7,0,2064321.7742,2129649.0616,13
638963,-106.523434,31.176161,7,0,2067321.7742,2129649.0616,13
638964,-106.492091,31.177008,7,7,2070321.7742,2129649.0616,13
638965,-106.460748,31.177849,7,0,2073321.7742,2129649.0616,13
638966,-106.429404,31.178685,7,0,2076321.7742,2129649.0616,13
638967,-106.398060,31.179514,7,0,2079321.7742,2129649.0616,13
638968,-106.366715,31.180338,7,0,2082321.7742,2129649.0616,13
638969,-106.335370,31.181156,7,0,2085321.7742,2129649.0616,13
638970,-106.304025,31.181968,7,0,2088321.7742,2129649.0616,13
638971,-106.272679,31.182774,7,0,2091321.7742,2129649.0616,13
638972,-106.241333,31.183574,7,0,2094321.7742,2129649.0616,13
638973,-106.209986,31.184368,7,0,2097321.7742,2129649.0616,13
638974,-106.178639,31.185157,7,0,2100321.7742,2129649.0616,13
638975,-106.147291,31.185939,7,0,2103321.7742,2129649.0616,13
638976,-106.115943,31.186716,7,0,2106321.7742,2129649.0616,13
640007,-106.994616,31.189690,7,0,2022321.7742,2132649.0616,13
640008,-106.963273,31.190626,7,0,2025321.7742,2132649.0616,13
640009,-106.931930,31.191556,7,0,2028321.7742,2132649.0616,13
640010,-106.900586,31.192480,7,0,2031321.7742,2132649.0616,13
640011,-106.869241,31.193398,7,0,2034321.7742,2132649.0616,13
640012,-106.837896,31.194310,7,0,2037321.7742,2132649.0616,13
640013,-106.806551,31.195216,7,0,2040321.7742,2132649.0616,13
640014,-106.775205,31.196117,7,0,2043321.7742,2132649.0616,13
640015,-106.743859,31.197011,7,0,2046321.7742,2132649.0616,13
640016,-106.712512,31.197900,7,0,2049321.7742,2132649.0616,13
640017,-106.681165,31.198783,7,0,2052321.7742,2132649.0616,13
640018,-106.649818,31.199660,7,0,2055321.7742,2132649.0616,13
640019,-106.618470,31.200531,7,0,2058321.7742,2132649.0616,13
640020,-106.587121,31.201396,7,0,2061321.7742,2132649.0616,13
640021,-106.555772,31.202255,7,0,2064321.7742,2132649.0616,13
640022,-106.524423,31.203108,7,1,2067321.7742,2132649.0616,13
640023,-106.493073,31.203956,7,0,2070321.7742,2132649.0616,13
640024,-106.461723,31.204797,7,0,2073321.7742,2132649.0616,13
640025,-106.430373,31.205633,7,0,2076321.7742,2132649.0616,13
640026,-106.399021,31.206462,7,0,2079321.7742,2132649.0616,13
640027,-106.367670,31.207286,7,0,2082321.7742,2132649.0616,13
640028,-106.336318,31.208104,7,0,2085321.7742,2132649.0616,13
640029,-106.304966,31.208916,7,0,2088321.7742,2132649.0616,13
640030,-106.273613,31.209722,7,0,2091321.7742,2132649.0616,13
640031,-106.242260,31.210523,7,0,2094321.7742,2132649.0616,13
640032,-106.210907,31.211317,7,0,2097321.7742,2132649.0616,13
640033,-106.179553,31.212106,7,0,2100321.7742,2132649.0616,13
640034,-106.148198,31.212888,7,0,2103321.7742,2132649.0616,13
640035,-106.116844,31.213665,7,0,2106321.7742,2132649.0616,13
641066,-106.995708,31.216634,7,0,2022321.7742,2135649.0616,13
641067,-106.964358,31.217569,7,0,2025321.7742,2135649.0616,13
641068,-106.933008,31.218500,7,0,2028321.7742,2135649.0616,13
641069,-106.901657,31.219424,7,0,2031321.7742,2135649.0616,13
641070,-106.870306,31.220342,7,0,2034321.7742,2135649.0616,13
641071,-106.838954,31.221254,7,0,2037321.7742,2135649.0616,13
641072,-106.807602,31.222161,7,0,2040321.7742,2135649.0616,13
641073,-106.776250,31.223061,7,0,2043321.7742,2135649.0616,13
641074,-106.744897,31.223956,7,0,2046321.7742,2135649.0616,13
641075,-106.713543,31.224845,7,0,2049321.7742,2135649.0616,13
641076,-106.682189,31.225728,7,0,2052321.7742,2135649.0616,13
641077,-106.650835,31.226605,7,0,2055321.7742,2135649.0616,13
641078,-106.619480,31.227476,7,4,2058321.7742,2135649.0616,13
641079,-106.588125,31.228341,7,0,2061321.7742,2135649.0616,13
641080,-106.556769,31.229200,7,0,2064321.7742,2135649.0616,13
641081,-106.525413,31.230054,7,0,2067321.7742,2135649.0616,13
641082,-106.494056,31.230901,7,10,2070321.7742,2135649.0616,13
641083,-106.462699,31.231743,7,0,2073321.7742,2135649.0616,13
641084,-106.431341,31.232579,7,0,2076321.7742,2135649.0616,13
641085,-106.399984,31.233409,7,0,2079321.7742,2135649.0616,13
641086,-106.368625,31.234233,7,0,2082321.7742,2135649.0616,13
641087,-106.337267,31.235051,7,0,2085321.7742,2135649.0616,13
641088,-106.305907,31.235863,7,0,2088321.7742,2135649.0616,13
641089,-106.274548,31.236669,7,0,2091321.7742,2135649.0616,13
641090,-106.243188,31.237469,7,0,2094321.7742,2135649.0616,13
641091,-106.211828,31.238264,7,0,2097321.7742,2135649.0616,13
641092,-106.180467,31.239053,7,0,2100321.7742,2135649.0616,13
641093,-106.149106,31.239835,7,0,2103321.7742,2135649.0616,13
641094,-106.117744,31.240612,7,0,2106321.7742,2135649.0616,13
642125,-106.996801,31.243575,7,0,2022321.7742,2138649.0616,13
642126,-106.965444,31.244511,7,0,2025321.7742,2138649.0616,13
642127,-106.934087,31.245442,7,0,2028321.7742,2138649.0616,13
642128,-106.902729,31.246366,7,0,2031321.7742,2138649.0616,13
642129,-106.871371,31.247284,7,0,2034321.7742,2138649.0616,13
642130,-106.840013,31.248197,7,0,2037321.7742,2138649.0616,13
642131,-106.808654,31.249103,7,0,2040321.7742,2138649.0616,13
642132,-106.777294,31.250004,7,0,2043321.7742,2138649.0616,13
642133,-106.745934,31.250899,7,0,2046321.7742,2138649.0616,13
642134,-106.714574,31.251788,7,1,2049321.7742,2138649.0616,13
642135,-106.683213,31.252671,7,0,2052321.7742,2138649.0616,13
642136,-106.651852,31.253548,7,0,2055321.7742,2138649.0616,13
642137,-106.620490,31.254419,7,0,2058321.7742,2138649.0616,13
642138,-106.589128,31.255285,7,0,2061321.7742,2138649.0616,13
642139,-106.557766,31.256144,7,0,2064321.7742,2138649.0616,13
642140,-106.526403,31.256998,7,0,2067321.7742,2138649.0616,13
642141,-106.495039,31.257845,7,0,2070321.7742,2138649.0616,13
642142,-106.463675,31.258687,7,0,2073321.7742,2138649.0616,13
642143,-106.432311,31.259523,7,0,2076321.7742,2138649.0616,13
642144,-106.400946,31.260353,7,0,2079321.7742,2138649.0616,13
642145,-106.369581,31.261177,7,0,2082321.7742,2138649.0616,13
642146,-106.338215,31.261995,7,0,2085321.7742,2138649.0616,13
642147,-106.306849,31.262807,7,0,2088321.7742,2138649.0616,13
642148,-106.275483,31.263614,7,0,2091321.7742,2138649.0616,13
642149,-106.244116,31.264414,7,0,2094321.7742,2138649.0616,13
642150,-106.212749,31.265209,7,0,2097321.7742,2138649.0616,13
642151,-106.181381,31.265998,7,0,2100321.7742,2138649.0616,13
642152,-106.150013,31.266781,7,0,2103321.7742,2138649.0616,13
642153,-106.118645,31.267558,7,0,2106321.7742,2138649.0616,13
643184,-106.997894,31.270515,7,0,2022321.7742,2141649.0616,13
643185,-106.966530,31.271451,7,0,2025321.7742,2141649.0616,13
643186,-106.935166,31.272382,7,0,2028321.7742,2141649.0616,13
643187,-106.903802,31.273306,7,0,2031321.7742,2141649.0616,13
643188,-106.872437,31.274225,7,0,2034321.7742,2141649.0616,13
643189,-106.841072,31.275137,7,0,2037321.7742,2141649.0616,13
643190,-106.809706,31.276044,7,0,2040321.7742,2141649.0616,13
643191,-106.778340,31.276945,7,0,2043321.7742,2141649.0616,13
643192,-106.746973,31.277840,7,2,2046321.7742,2141649.0616,13
643193,-106.715606,31.278729,7,0,2049321.7742,2141649.0616,13
643194,-106.684238,31.279612,7,0,2052321.7742,2141649.0616,13
643195,-106.652870,31.280489,7,0,2055321.7742,2141649.0616,13
643196,-106.621501,31.281361,7,0,2058321.7742,2141649.0616,13
643197,-106.590132,31.282226,7,0,2061321.7742,2141649.0616,13
643198,-106.558763,31.283086,7,0,2064321.7742,2141649.0616,13
643199,-106.527393,31.283940,7,0,2067321.7742,2141649.0616,13
643200,-106.496023,31.284787,7,1,2070321.7742,2141649.0616,13
643201,-106.464652,31.285629,7,0,2073321.7742,2141649.0616,13
643202,-106.433281,31.286465,7,0,2076321.7742,2141649.0616,13
643203,-106.401909,31.287295,7,0,2079321.7742,2141649.0616,13
643204,-106.370537,31.288120,7,0,2082321.7742,2141649.0616,13
643205,-106.339165,31.288938,7,0,2085321.7742,2141649.0616,13
643206,-106.307792,31.289750,7,0,2088321.7742,2141649.0616,13
643207,-106.276419,31.290557,7,0,2091321.7742,2141649.0616,13
643208,-106.245045,31.291357,7,0,2094321.7742,2141649.0616,13
643209,-106.213671,31.292152,7,0,2097321.7742,2141649.0616,13
643210,-106.182296,31.292941,7,0,2100321.7742,2141649.0616,13
643211,-106.150921,31.293724,7,0,2103321.7742,2141649.0616,13
643212,-106.119546,31.294501,7,0,2106321.7742,2141649.0616,13
644243,-106.998988,31.297453,7,0,2022321.7742,2144649.0616,13
644244,-106.967617,31.298390,7,0,2025321.7742,2144649.0616,13
644245,-106.936246,31.299320,7,0,2028321.7742,2144649.0616,13
644246,-106.904875,31.300245,7,0,2031321.7742,2144649.0616,13
644247,-106.873503,31.301163,7,0,2034321.7742,2144649.0616,13
644248,-106.842131,31.302076,7,0,2037321.7742,2144649.0616,13
644249,-106.810758,31.302983,7,0,2040321.7742,2144649.0616,13
644250,-106.779385,31.303884,7,0,2043321.7742,2144649.0616,13
644251,-106.748012,31.304779,7,0,2046321.7742,2144649.0616,13
644252,-106.716638,31.305668,7,0,2049321.7742,2144649.0616,13
644253,-106.685263,31.306552,7,0,2052321.7742,2144649.0616,13
644254,-106.653888,31.307429,7,0,2055321.7742,2144649.0616,13
644255,-106.622513,31.308300,7,0,2058321.7742,2144649.0616,13
644256,-106.591137,31.309166,7,0,2061321.7742,2144649.0616,13
644257,-106.559760,31.310026,7,0,2064321.7742,2144649.0616,13
644258,-106.528384,31.310880,7,0,2067321.7742,2144649.0616,13
644259,-106.497007,31.311727,7,0,2070321.7742,2144649.0616,13
644260,-106.465629,31.312569,7,1,2073321.7742,2144649.0616,13
644261,-106.434251,31.313406,7,0,2076321.7742,2144649.0616,13
644262,-106.402873,31.314236,7,0,2079321.7742,2144649.0616,13
644263,-106.371494,31.315060,7,0,2082321.7742,2144649.0616,13
644264,-106.340114,31.315879,7,0,2085321.7742,2144649.0616,13
644265,-106.308735,31.316691,7,0,2088321.7742,2144649.0616,13
644266,-106.277355,31.317498,7,0,2091321.7742,2144649.0616,13
644267,-106.245974,31.318299,7,0,2094321.7742,2144649.0616,13
644268,-106.214593,31.319093,7,0,2097321.7742,2144649.0616,13
644269,-106.183212,31.319882,7,0,2100321.7742,2144649.0616,13
644270,-106.151830,31.320665,7,0,2103321.7742,2144649.0616,13
644271,-106.120448,31.321443,7,0,2106321.7742,2144649.0616,13
